bmu_id,ngc_bmu_id,bmUnitName,fuelType,bmUnitType,leadPartyName,generationCapacity,side,volume_mwh,abs_volume_mwh,action_count,settlement_date,settlement_period,price_gbp_mwh,bid_offer_pair_id,first_seen_at,last_seen_at,active_latest
1,,,,,,,bid,-156.5,156.5,6,2026-06-10,3,93.18,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
1,,,,,,,offer,480.0,480.0,2,2026-06-10,48,195.0,,2026-06-10T20:17:58Z,2026-06-11T00:17:05Z,True
10,,,,,,,bid,-200.0,200.0,5,2026-06-10,3,91.09,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
10,,,,,,,offer,846.0,846.0,9,2026-06-10,5,192.71,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
11,,,,,,,bid,-97.5,97.5,6,2026-06-10,3,90.0,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
11,,,,,,,offer,156.5,156.5,6,2026-06-10,39,196.24,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
12,,,,,,,bid,-209.5,209.5,6,2026-06-10,3,89.13,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
12,,,,,,,offer,189.0,189.0,6,2026-06-10,39,217.24,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
13,,,,,,,bid,-40.5,40.5,2,2026-06-10,7,86.21,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
13,,,,,,,offer,164.0,164.0,6,2026-06-10,39,223.75,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
14,,,,,,,offer,487.5,487.5,8,2026-06-10,7,203.41,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
15,,,,,,,offer,230.0,230.0,6,2026-06-10,39,209.65,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
16,,,,,,,bid,-0.032,0.032,2,2026-06-10,43,-34.69,,2026-06-10T20:49:44Z,2026-06-11T00:05:18Z,False
16,,,,,,,offer,15.0,15.0,2,2026-06-10,41,223.45,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
17,,,,,,,bid,-0.015,0.015,2,2026-06-10,43,-36.67,,2026-06-10T20:49:44Z,2026-06-11T00:05:18Z,False
17,,,,,,,offer,47.5,47.5,2,2026-06-10,41,235.89,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
18,,,,,,,bid,-0.006,0.006,2,2026-06-10,43,-33.33,,2026-06-10T20:49:44Z,2026-06-11T00:05:18Z,False
18,,,,,,,offer,37.5,37.5,2,2026-06-10,41,249.66,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
19,,,,,,,bid,-0.004,0.004,2,2026-06-10,43,-37.5,,2026-06-10T20:49:44Z,2026-06-11T00:05:18Z,False
19,,,,,,,offer,37.5,37.5,2,2026-06-10,41,254.89,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
2,,,,,,,bid,-217.037,217.037,12,2026-06-10,3,91.56,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
2,,,,,,,offer,836.0,836.0,7,2026-06-10,2,198.08,,2026-06-10T23:40:28Z,2026-06-11T00:05:18Z,False
20,,,,,,,bid,-0.033,0.033,4,2026-06-10,41,-35.45,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
21,,,,,,,bid,-0.016,0.016,4,2026-06-10,41,-33.75,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
22,,,,,,,bid,-0.025,0.025,4,2026-06-10,41,-34.8,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
23,,,,,,,bid,-0.017,0.017,4,2026-06-10,41,-35.29,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
24,,,,,,,bid,-0.01,0.01,4,2026-06-10,41,-34.0,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
25,,,,,,,bid,-0.014,0.014,4,2026-06-10,41,-30.71,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
26,,,,,,,bid,-0.031,0.031,4,2026-06-10,41,-34.84,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
27,,,,,,,bid,-0.014,0.014,4,2026-06-10,41,-33.57,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
28,,,,,,,bid,-0.013,0.013,4,2026-06-10,41,-39.23,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
29,,,,,,,bid,-0.031,0.031,4,2026-06-10,41,-34.19,,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
2__ASTAT005,AG-ASTK05,STAT_A6,,S,Statkraft Markets Gmbh,50.0,bid,-23.792,23.792,138,2026-06-10,9,93.85,-1; -2; -3; -4; -5,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__ASTAT005,AG-ASTK05,STAT_A6,,S,Statkraft Markets Gmbh,50.0,offer,4.0,4.0,32,2026-06-10,16,133.99,-1; -2; -3; -4; -5; 1; 2; 3; 4,2026-06-10T14:59:17Z,2026-06-11T00:05:18Z,False
2__ASTAT008,AG-ASTK08,STAT_A9,,S,Statkraft Markets Gmbh,16.0,bid,-19.762,19.762,138,2026-06-10,10,104.15,-1; -2; -3; 1,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__ASTAT008,AG-ASTK08,STAT_A9,,S,Statkraft Markets Gmbh,16.0,offer,2.112,2.112,17,2026-06-10,17,127.14,-1; -2; 1,2026-06-10T14:59:17Z,2026-06-11T00:05:18Z,False
2__ASTAT009,AG-ASTK09,STAT_A10,,S,Statkraft Markets Gmbh,12.0,bid,-23.514,23.514,205,2026-06-10,10,94.82,-1; -2; -3; -4; -5,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__ASTAT009,AG-ASTK09,STAT_A10,,S,Statkraft Markets Gmbh,12.0,offer,2.589,2.589,31,2026-06-10,10,133.55,-1; -2; -3; 1; 2; 3,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__BCMRO002,BFSE03,2__BCMRO002,,S,BGI Trading Limited,0.000,bid,-1.0,1.0,1,2026-06-11,1,93.84,-1,2026-06-10T14:30:02Z,2026-06-11T00:17:05Z,True
2__BCMRO002,BFSE03,2__BCMRO002,,S,BGI Trading Limited,0.0,offer,39.142,39.142,22,2026-06-10,15,127.72,-1; 1,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__BFLEX001,AG-BFLX01,2__BFLEX001,,S,Flexitricity Limited,49.0,bid,-0.717,0.717,8,2026-06-10,41,97.16,-1,2026-06-10T20:17:58Z,2026-06-11T00:05:18Z,False
2__BFLEX001,AG-BFLX01,2__BFLEX001,,S,Flexitricity Limited,49.0,offer,0.85,0.85,4,2026-06-10,31,153.35,-1; 1,2026-06-10T14:59:17Z,2026-06-11T00:05:18Z,False
2__BFLEX004,AG-BFLX04,2__BFLEX004,,S,Flexitricity Limited,49.0,bid,-35.75,35.75,38,2026-06-10,10,73.64,-1,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__BFLEX004,AG-BFLX04,2__BFLEX004,,S,Flexitricity Limited,49.0,offer,3.408,3.408,5,2026-06-10,27,104.41,-1; 1,2026-06-10T14:17:43Z,2026-06-11T00:05:18Z,False
2__DUKPR001,AG-DUKP01,UKPR MANW,,S,UK Power Reserve Limited,20.0,bid,-14.653,14.653,59,2026-06-10,2,94.03,-1; -2,2026-06-10T15:49:26Z,2026-06-11T00:05:18Z,False
